id	url	full_name	stargazers_count	language	size	license
1	https://api.github.com/repos/mojombo/grit	mojombo/grit	1961	Ruby	7954	mit
26	https://api.github.com/repos/wycats/merb-core	wycats/merb-core	436	Ruby	3462	null
27	https://api.github.com/repos/rubinius/rubinius	rubinius/rubinius	3034	C	168196	mpl-2.0
28	https://api.github.com/repos/mojombo/god	mojombo/god	2202	Ruby	2639	mit
29	https://api.github.com/repos/vanpelt/jsawesome	vanpelt/jsawesome	68	JavaScript	192	mit
31	https://api.github.com/repos/wycats/jspec	wycats/jspec	83	JavaScript	156	other
35	https://api.github.com/repos/defunkt/exception_logger	defunkt/exception_logger	242	Ruby	232	null
36	https://api.github.com/repos/defunkt/ambition	defunkt/ambition	163	Ruby	473	mit
42	https://api.github.com/repos/technoweenie/restful-authentication	technoweenie/restful-authentication	1575	Ruby	1208	mit
43	https://api.github.com/repos/technoweenie/attachment_fu	technoweenie/attachment_fu	1023	Ruby	1008	mit
48	https://api.github.com/repos/caged/microsis	caged/microsis	23	JavaScript	2054	null
52	https://api.github.com/repos/anotherjesse/s3	anotherjesse/s3	35	JavaScript	393	null
53	https://api.github.com/repos/anotherjesse/taboo	anotherjesse/taboo	28	JavaScript	781	null
54	https://api.github.com/repos/anotherjesse/foxtracs	anotherjesse/foxtracs	13	JavaScript	135	null
56	https://api.github.com/repos/anotherjesse/fotomatic	anotherjesse/fotomatic	15	ActionScript	139	null
61	https://api.github.com/repos/mojombo/glowstick	mojombo/glowstick	33	Ruby	86	null
63	https://api.github.com/repos/defunkt/starling	defunkt/starling	72	Ruby	192	mit
65	https://api.github.com/repos/wycats/merb-more	wycats/merb-more	185	None	1551	null
68	https://api.github.com/repos/macournoyer/thin	macournoyer/thin	2208	Ruby	1971	null
71	https://api.github.com/repos/jamesgolick/resource_controller	jamesgolick/resource_controller	499	Ruby	776	mit
73	https://api.github.com/repos/jamesgolick/markaby	jamesgolick/markaby	23	Ruby	160	null
74	https://api.github.com/repos/jamesgolick/enum_field	jamesgolick/enum_field	53	Ruby	131	mit
75	https://api.github.com/repos/defunkt/subtlety	defunkt/subtlety	14	Ruby	117	null
92	https://api.github.com/repos/defunkt/zippy	defunkt/zippy	16	Ruby	103	null
93	https://api.github.com/repos/defunkt/cache_fu	defunkt/cache_fu	254	Ruby	105	mit
95	https://api.github.com/repos/KirinDave/phosphor	KirinDave/phosphor	9	None	84	null
98	https://api.github.com/repos/bmizerany/sinatra	bmizerany/sinatra	921	Ruby	7905	mit
102	https://api.github.com/repos/jnewland/gsa-prototype	jnewland/gsa-prototype	13	JavaScript	252	other
105	https://api.github.com/repos/technoweenie/duplikate	technoweenie/duplikate	25	Ruby	97	null
118	https://api.github.com/repos/jnewland/lazy_record	jnewland/lazy_record	13	Ruby	91	other
119	https://api.github.com/repos/jnewland/gsa-feeds	jnewland/gsa-feeds	7	Ruby	122	mit
120	https://api.github.com/repos/jnewland/votigoto	jnewland/votigoto	10	Ruby	116	mit
127	https://api.github.com/repos/defunkt/mofo	defunkt/mofo	89	JavaScript	223	mit
129	https://api.github.com/repos/jnewland/xhtmlize	jnewland/xhtmlize	10	Ruby	90	mit
130	https://api.github.com/repos/ruby-git/ruby-git	ruby-git/ruby-git	1668	Ruby	963	mit
131	https://api.github.com/repos/ezmobius/bmhsearch	ezmobius/bmhsearch	9	C	102	other
137	https://api.github.com/repos/uggedal/mofo	uggedal/mofo	4	JavaScript	213	mit
139	https://api.github.com/repos/mmower/simply_versioned	mmower/simply_versioned	40	Ruby	661	mit
140	https://api.github.com/repos/abhay/gchart	abhay/gchart	37	Ruby	119	null
141	https://api.github.com/repos/benburkert/schemr	benburkert/schemr	6	Ruby	100	null
142	https://api.github.com/repos/abhay/calais	abhay/calais	135	Ruby	349	mit
144	https://api.github.com/repos/mojombo/chronic	mojombo/chronic	3175	Ruby	681	mit
165	https://api.github.com/repos/sr/git-wiki	sr/git-wiki	530	Ruby	2350	null
177	https://api.github.com/repos/queso/signal-wiki	queso/signal-wiki	72	Ruby	3438	mit
179	https://api.github.com/repos/drnic/ruby-on-rails-tmbundle	drnic/ruby-on-rails-tmbundle	896	Ruby	2337	mit
185	https://api.github.com/repos/danwrong/low-pro-for-jquery	danwrong/low-pro-for-jquery	134	JavaScript	350	mit
186	https://api.github.com/repos/wayneeseguin/merb-core	wayneeseguin/merb-core	6	Ruby	284	mit
190	https://api.github.com/repos/sr/dst	sr/dst	9	Ruby	92	mit
191	https://api.github.com/repos/mojombo/yaws	mojombo/yaws	42	Erlang	808	bsd-3-clause
192	https://api.github.com/repos/KirinDave/yaws	KirinDave/yaws	10	Erlang	817	bsd-3-clause
193	https://api.github.com/repos/sr/tasks	sr/tasks	7	Ruby	88	null
195	https://api.github.com/repos/mattetti/ruby-on-rails-tmbundle	mattetti/ruby-on-rails-tmbundle	5	Ruby	353	mit
199	https://api.github.com/repos/grempe/amazon-ec2	grempe/amazon-ec2	436	Ruby	2628	other
203	https://api.github.com/repos/wayneeseguin/merblogger	wayneeseguin/merblogger	18	JavaScript	6900	null
204	https://api.github.com/repos/wayneeseguin/merbtastic	wayneeseguin/merbtastic	6	None	80	null
205	https://api.github.com/repos/wayneeseguin/alogr	wayneeseguin/alogr	13	Ruby	124	other
206	https://api.github.com/repos/wayneeseguin/autozest	wayneeseguin/autozest	7	Ruby	276	other
207	https://api.github.com/repos/wayneeseguin/rnginx	wayneeseguin/rnginx	6	Ruby	88	null
208	https://api.github.com/repos/wayneeseguin/sequel	wayneeseguin/sequel	12	Ruby	809	null
211	https://api.github.com/repos/bmizerany/simply_versioned	bmizerany/simply_versioned	8	Ruby	521	mit
212	https://api.github.com/repos/peterc/switchpipe	peterc/switchpipe	13	Ruby	104	null
213	https://api.github.com/repos/hornbeck/arc	hornbeck/arc	8	Arc	132	other
217	https://api.github.com/repos/up_the_irons/ebay4r	up_the_irons/ebay4r	32	Ruby	464	gpl-2.0
218	https://api.github.com/repos/wycats/merb-plugins	wycats/merb-plugins	207	JavaScript	7064	null
220	https://api.github.com/repos/up_the_irons/ram	up_the_irons/ram	8	Ruby	2704	mit
230	https://api.github.com/repos/defunkt/ambitious_activeldap	defunkt/ambitious_activeldap	9	Ruby	96	mit
232	https://api.github.com/repos/atmos/fitter_happier	atmos/fitter_happier	8	Ruby	135	mit
237	https://api.github.com/repos/brosner/oebfare	brosner/oebfare	46	JavaScript	2067	null
245	https://api.github.com/repos/up_the_irons/credit_card_tools	up_the_irons/credit_card_tools	15	Ruby	92	gpl-2.0
248	https://api.github.com/repos/jnicklas/rorem	jnicklas/rorem	6	Ruby	240	mit
249	https://api.github.com/repos/cristibalan/braid	cristibalan/braid	455	Ruby	659	mit
251	https://api.github.com/repos/jnicklas/uploadcolumn	jnicklas/uploadcolumn	31	Ruby	1254	mit
252	https://api.github.com/repos/simonjefford/ruby-on-rails-tmbundle	simonjefford/ruby-on-rails-tmbundle	5	Ruby	771	mit
256	https://api.github.com/repos/leahneukirchen/rack-mirror	leahneukirchen/rack-mirror	10	Ruby	313	other
257	https://api.github.com/repos/leahneukirchen/coset-mirror	leahneukirchen/coset-mirror	12	Ruby	90	null
267	https://api.github.com/repos/drnic/javascript-unittest-tmbundle	drnic/javascript-unittest-tmbundle	16	None	107	null
273	https://api.github.com/repos/engineyard/eycap	engineyard/eycap	116	Ruby	1112	null
279	https://api.github.com/repos/leahneukirchen/gitsum	leahneukirchen/gitsum	68	Emacs Lisp	96	null
293	https://api.github.com/repos/wayneeseguin/sequel-model	wayneeseguin/sequel-model	8	Ruby	880	other
305	https://api.github.com/repos/kevinclark/god	kevinclark/god	5	Ruby	926	null
307	https://api.github.com/repos/hornbeck/blerb-core	hornbeck/blerb-core	28	Ruby	1176	null
312	https://api.github.com/repos/brosner/django-mptt	brosner/django-mptt	60	Python	548	other
314	https://api.github.com/repos/technomancy/bus-scheme	technomancy/bus-scheme	35	Ruby	333	bsd-3-clause
319	https://api.github.com/repos/caged/javascript-bits	caged/javascript-bits	34	JavaScript	182	null
320	https://api.github.com/repos/caged/groomlake	caged/groomlake	6	Ruby	10170	null
322	https://api.github.com/repos/sevenwire/forgery	sevenwire/forgery	789	Ruby	285	mit
324	https://api.github.com/repos/technicalpickles/ambitious-sphinx	technicalpickles/ambitious-sphinx	15	Ruby	148	mit
329	https://api.github.com/repos/lazyatom/soup	lazyatom/soup	19	Ruby	170	null
332	https://api.github.com/repos/josh/rails	josh/rails	35	Ruby	117608	null
334	https://api.github.com/repos/cdcarter/backpacking	cdcarter/backpacking	60	Io	33	mit
339	https://api.github.com/repos/jnewland/capsize	jnewland/capsize	41	Ruby	253	other
351	https://api.github.com/repos/bs/starling	bs/starling	23	Ruby	112	mit
360	https://api.github.com/repos/sr/ape	sr/ape	9	Ruby	368	mit
362	https://api.github.com/repos/collectiveidea/awesomeness	collectiveidea/awesomeness	47	Ruby	178	null
363	https://api.github.com/repos/collectiveidea/audited	collectiveidea/audited	3101	Ruby	1108	mit
364	https://api.github.com/repos/collectiveidea/acts_as_geocodable	collectiveidea/acts_as_geocodable	207	Ruby	278	other
365	https://api.github.com/repos/collectiveidea/acts_as_money	collectiveidea/acts_as_money	45	Ruby	97	null
367	https://api.github.com/repos/collectiveidea/calendar_builder	collectiveidea/calendar_builder	44	Ruby	188	null
368	https://api.github.com/repos/collectiveidea/clear_empty_attributes	collectiveidea/clear_empty_attributes	11	Ruby	103	null
369	https://api.github.com/repos/collectiveidea/css_naked_day	collectiveidea/css_naked_day	5	Ruby	88	mit
370	https://api.github.com/repos/collectiveidea/imap_authenticatable	collectiveidea/imap_authenticatable	5	Ruby	98	other
371	https://api.github.com/repos/collectiveidea/random_finders	collectiveidea/random_finders	15	Ruby	96	mit
372	https://api.github.com/repos/collectiveidea/with_action	collectiveidea/with_action	24	Ruby	431	mit
374	https://api.github.com/repos/collectiveidea/graticule	collectiveidea/graticule	300	Ruby	316	other
376	https://api.github.com/repos/collectiveidea/tinder	collectiveidea/tinder	256	Ruby	238	mit
377	https://api.github.com/repos/macournoyer/invisible	macournoyer/invisible	51	CSS	206	null
379	https://api.github.com/repos/tommorris/pyprofile	tommorris/pyprofile	4	Python	88	null
386	https://api.github.com/repos/adamwiggins/rush	adamwiggins/rush	513	Ruby	375	null
388	https://api.github.com/repos/defunkt/ike	defunkt/ike	27	Io	131	mit
408	https://api.github.com/repos/mtodd/halcyon	mtodd/halcyon	62	Ruby	1274	other
410	https://api.github.com/repos/benburkert/cruisecontrolrb	benburkert/cruisecontrolrb	86	Ruby	10118	apache-2.0
413	https://api.github.com/repos/tommorris/opml-schema	tommorris/opml-schema	7	XSLT	25	null
422	https://api.github.com/repos/tommorris/reddy	tommorris/reddy	47	Ruby	600	null
423	https://api.github.com/repos/shane/youtube-g	shane/youtube-g	7	None	96	null
425	https://api.github.com/repos/defunkt/facebox	defunkt/facebox	1934	JavaScript	1174	mit
426	https://api.github.com/repos/haml/haml	haml/haml	3714	Ruby	10536	mit
427	https://api.github.com/repos/lancecarlson/kissgen	lancecarlson/kissgen	6	Ruby	116	mit
429	https://api.github.com/repos/anotherjesse/exception_logger	anotherjesse/exception_logger	6	Ruby	175	null
430	https://api.github.com/repos/rsanheim/brain_buster	rsanheim/brain_buster	60	Ruby	208	other
443	https://api.github.com/repos/mojombo/vanhelsing	mojombo/vanhelsing	23	Ruby	3926	other
469	https://api.github.com/repos/bryanl/linthicum	bryanl/linthicum	4	Ruby	2308	null
483	https://api.github.com/repos/adelcambre/textilizefu	adelcambre/textilizefu	5	Ruby	106	mit
491	https://api.github.com/repos/scharfie/slate	scharfie/slate	45	Ruby	8866	other
